Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Padahastasana,पादहस्तासन​,Pādahastāsana,Hand to Foot Pose,Pāda = foot; Hasta = hand,ādhāra,Pādāṅguṣṭhāsana,Utthitatrikoṇāsana,x,,,,8,"Calves, knee flexors, hip extensors, back extensors, shoulder elevators, wrist extensors.",[[Pādāṅguṣṭhāsana]] and its Prep poses.,"Hip flexors, internal rotators of the leg, rotators, knee extensors, intrinsic foot muscles, transversus abdominis, back extensors, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Pādāṅguṣṭhāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]].","[[Tāḍāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Marīchyāsana]].",067
Padangusthasana,पादाङ्गुष्ठासन​,Pādāṅguṣṭhāsana,Big Toe Pose,Pāda = foot; Aṅguṣṭha = big toe,ādhāra,Sūryanamaskāra B,Pādahastāsana,x,,x,Vitalidad,8,"Calves, knee flexors, hip extensors, back extensors, shoulder elevators.","[[Tāḍāsana]], [[Uttānāsana]].","Hip flexors, internal rotators of the leg, knee extensors, intrinsic foot muscles, transversus abdominis, back extensors, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Pādahastāsana]], [[Paścimottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]].","[[Tāḍāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Marīchyāsana]].",068
Parsva Bakasana,पार्श्वबकासन,Pārśvabakāsana,Side Crow Pose,Pārśva = side; Baka = crane/crow; Āsana = posture,,,,,,x,Vitalidad,10,"Wrist flexors, shoulder elevators, obliques, hip extensors.","[[Bakāsana B]], [[Marīchyāsana A]] and [[Marīchyāsana C]].","Wrist synergists, elbow synergists, rotators of the arm, shoulder stabilizers (emphasis protractors, retractors, flexors), chest, obliques, abdominals, hip flexors, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardha Matsyendrāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Marīchyāsana C]],[[Parivṛttārdhacandrāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Phalakāsana]], [[Utkaṭāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]].","Transition to [[Kouṇḍinyāsana A]], [[Kouṇḍinyāsana A]] A, then [[Chaturāṅgadaṇḍāsana]]; as part of [[Śīrṣāsana]]I vinyasa.","[[Bhuja]], [[Bālāsana]], [[Baddhakoṇāsana B]], [[Uttānāsana]], [[Sarvāṅgāsana]].",069
Parsvottanasana,पार्श्वोत्तानासन​,Pārśvottānāsana,Pyramid Pose,Pārśva = side; Uttāna = intense stretch,ādhāra,Prasāritapādottānāsana D,-,x,,x,Conexion,8,"Knee flexors, hip extensors, internal rotators of the leg, back extensors, chest, external rotators of the arm, shoulder flexors and elevators, wrist flexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Gomukhāsana B]], [[Prasāritapādottānāsana A]], [[Uttānāsana]], [[Utthitatrikoṇāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), knee extensors. Back leg: hip extensors, knee extensors, back extensors, abdominals, obliques, shoulder retractors and protractors, internal rotators of the arm, elbow flexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Ālāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttapārśvakoṇāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana C]], [[Suptapādāṅguṣṭhāsana A]].","Transition to [[Parivṛttatrikoṇāsana]] and Prep poses for [[Hanumānāsana]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana C]].","[[Tāḍāsana]], [[Bālāsana]], [[Apānāsana]], [[Baddhakoṇāsana B]], [[Suptapādāṅguṣṭhāsana A]].",070
Purvatanasana,पूर्वोत्तानासन​,Pūrvottānāsana,Upward Plank Pose,Pūrva = east; Uttāna = intense stretch,yoga cikitsā,Paścimottānāsana C,Pūrvottānāsana,x,,,,8,"Foot dorsiflexors, hip flexors, abdominals, chest, shoulder flexors and elevators, throat.","[[Añjanēyāsana]], [[Prasāritapādottānāsana C]], [[Ūrdhva Dhanurāsana]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","Wrist synergists, internal rotators of the arm, shoulder stabilizers (emphasis retractors, depressors), throat, back extensors, transversus abdominis, hip extensors and adductors, calves.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Matsyāsana]], [[Nāvāsana]], [[Phalakāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Tāḍāsana]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Vasiṣṭhāsana]].","Eka Pada Variation, “flipping” your [[Adhomukhaśvānāsana]]","[[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Paścimottānāsana]].",071
Raja Kapotasana,राजकपोतासन,Rājakapotāsana,King Pigeon Pose,Rāja = king; Kapota = pigeon,tṛtīya śreṇī,Naṭarājāsana B,Rājakapotāsana,x,,,,13,"Knee flexors, hip flexors, abdominals, chest, shoulder elevators and flexors, wrist flexors.","[[Bharmanāsana]]. In it’s gradual expression, an  pose for back bends.","Wrist flexors, elbow flexors, rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, and retractors), transversus abdominis, spine extensors, hip extensors, knee extensors, calves.","[[Bharmanāsana]]. In its gradual expression, a preparatory pose for back bends.","[[Ūrdhvamukhaśvānāsana]],[[Rājakapotāsana]], [[Uṣṭrāsana]], [[Bhekāsana]], [[Ekapādabakāsana A]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Apānāsana]], [[Baddhakoṇāsana B]].",072
Samasthiti,समस्थिति,Samasthiti,Equal Standing Pose,Sama = equal; Sthiti = standing/balance,ādhāra,-,Sūryanamaskāra A,x,,x,Integracion,8,"Chest, shoulder elevators, mind.",[[Tāḍāsana]].,"Intrinsic foot muscles, knee extensors, hip synergists, transversus abdominis, back extensors, shoulder depressors, neck.","[[Bharmanāsana]], [[Tāḍāsana]].","Standing poses, [[Utkaṭāsana]], [[Vṛkṣāsana]].","[[Uttānāsana]], [[Ardhottānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",073
Sarvangasana,सर्वाङ्गासन​,Sarvāṅgāsana,Shoulder Stand,Sarva = all; Aṅga = limb,samāpana,Paścimottānāsana,Halasana,x,x,x,Entrega,11,"Neck, chest, shoulder flexors, back extensors, hip flexors.","[[Añjanēyāsana]], [[Halāsana]], [[Prasāritapādottānāsana C]], [[Ūrdhva Dhanurāsana]], [[Sarvāṅgāsana]], [[Vīrabhadrāsana A]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), elbow flexors, wrist flexors, back extensors, hip extensors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana C]] arms, [[Phalakāsana]], [[Pūrvottānāsana]], [[Ūrdhva Dhanurāsana]], [[Tāḍāsana]], [[Uttānāsana]].","[[Ūrdhvapadmāsana]], transition one leg at a time to [[Ūrdhva Dhanurāsana]], [[Cakorāsana]].","[[Bālāsana]], [[Halāsana]], [[Śirṣa]], [[Śavāsana]], [[Matsyāsana]] Prep, [[Uttānapādāsana]].",074
Sarvangasana,सर्वाङ्गासन​,Sarvāṅgāsana,Shoulder Stand,Sarva = all; Aṅga = limb,samāpana,Paścimottānāsana,Halasana,x,x,x,Entrega,11,"Hip extensors, knee flexors.",A deeply restorative asana that can be practiced on its own or after any sequence.,Hip adductors.,In itself a restorative that can be practiced independently or after any practice.,"Strap thighs together, place sandbag over feet; explore wall-supported Ardha [[Sarvāṅgāsana]] or [[Suptakoṇāsana]].","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Śavāsana]].",075
Setu Bandhasana,सेतुबन्धासन,Setubandhāsana,Bridge Pose,Setu = bridge; Bandha = lock,yoga cikitsā,Ūrdhvamukhapaścimottānāsana,Ūrdhva Dhanurāsana,x,,,,13,"Foot dorsiflexors, knee flexors, hip flexors, abdominals, chest, shoulder retractors, throat.","[[Matsyāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Śīrṣāsana]]I, [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Dvipādaviparītadaṇḍāsana]].","Neck, shoulder protractors, retractors, and adductors, back extensors, transversus abdominis, hip extensors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Śīrṣāsana]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Dvipādaviparītadaṇḍāsana]].",This is a peak pose!,"[[Adhomukhaśvānāsana]], [[Śirṣa]], [[Sarvāṅgāsana]], [[Śavāsana]].",076
Supta Matsyendrasana,सुप्त मत्स्येन्द्रासन,Supta Matsyendrāsana,Reclining Lord of the Fishes Pose,Supta = reclining; Matsyendra = lord of the fishes; Āsana = posture,,,,,x,x,Entrega,6,"Back extensors, obliques, top hip adductors, chest, shoulder elevators, knee flexors, calves.","[[Ardha Matsyendrāsana]], [[Apānāsana]], [[Daṇḍāsana]], [[Marīchyāsana C]], [[Tapas]].","Shoulder extensors, depressors, and retractors, obliques, hip flexors and adductors, knee extensors, calves.","[[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Nāvāsana]],[[Parivṛttārdhacandrāsana]], [[Parivṛttahastapādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Uttānāsana]].","Arm balances, neutral and twisting; [[Śīrṣāsana]] vinyasa.","[[Apānāsana]], [[Ānandabālāsana]], [[Baddhakoṇāsana B]].",077
Supta Padangusthasana A,सुप्तपादाङ्गुष्ठासन A,Suptapādāṅguṣṭhāsana A,Reclined Hand to Big Toe Pose A,Supta = reclined; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Suptakoṇāsana,Suptapādāṅguṣṭhāsana A,x,x,,,4,"Grounded leg: foot dorsiflexors, knee flexors, hip flexors. Gesture leg: hip extensors, knee flexors. Back extensors, shoulder elevators, neck.","[[Adhomukhaśvānāsana]], [[Apānāsana]], [[Baddhakoṇāsana B]].","Grounded leg: hip extensors and adductors. Extended leg: hip flexors. Internal rotators of the leg, knee extensors, foot dorsiflexors, obliques, transversus abdominis, shoulder retractors.","In itself a preparation and restorative lala hip extensors and calves. [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Tāḍāsana]], [[Ekapādabakāsana A]].","[[Suptakoṇāsana]], [[Upaviṣṭhakoṇāsana A]], [[Kūrmāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]].","[[Apānāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",078
Tapas,तपस्,Tapas,Abdominal Exercises,Tapas = heat,,,,,,x,Esfuerzo,14,"Shoulder elevators, hip extensors.","[[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]], [[Marīchyāsana C]],  [[Nāvāsana]].","Abdominals, obliques, shoulder protractors and retractors, hip flexors and adductors, internal rotators of the leg.","All twists, [[Adhomukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Lolasana]], [[Nāvāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","Other abdominal core movements, [[Nāvāsana]] to Ardha [[Nāvāsana]] and back, [[Supta Matsyendrāsana]], [[Utplutiḥ]], [[Lolasana]].","[[Apānāsana]], [[Supta Matsyendrāsana]], [[Ānandabālāsana]], [[Baddhakoṇāsana B]].",079
Tittibhasana A,तिट्टिभासन A,Tiṭṭibhāsana A,Firefly Pose A,Tiṭṭibha = firefly,nāḍī śodhana,Yoga Nidrāsana,Tiṭṭibhāsana A,x,,,,"10,4","Wrist flexors, elbow flexors, shoulder flexors, back extensors, hip adductors and extensors, knee flexors, ankle dorsiflexors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitatrikoṇāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee extensors, calves.","[[Adhomukhaśvānāsana]], [[Bakāsana B]], [[Bālāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Kouṇḍinyāsana B]], [[Kūrmāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Parivṛtta Jānuśīrṣāsana]], [[Prasāritapādottānāsana A]], [[Śīrṣāsana]]I, [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvakukkutāsana]], [[Ekapādabakāsana A]].","Transition to [[Bakāsana B]] then [[Chaturāṅgadaṇḍāsana]], [[Bhujapīḍāsana]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]].",080
Tri-anga Mukha Eka Pada Pashchimottanasana,त्र्यङ्गमुखैकपादपश्चिमोत्तानासन,Tryaṅgamukhaikapāda Paścimottānāsana,Three-Limbed Forward Bend,Triaṅga = three limbs; Mukha = face; Eka = one; Pāda = foot; Paścima = west; Uttāna = intense stretch,yoga cikitsā,Ardhabaddhapadmapaścimottānāsana,Tryaṅgamukhaikapāda Paścimottānāsana,x,,,,7,"[[Vīrabhadrāsana A]] leg: foot dorsiflexors, knee extensors. Extended leg: calf, knee flexors. Hip extensors, back extensors, shoulder extensors, retractors, and elevators.","[[Daṇḍāsana]], [[Jānuśīrṣāsana A]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]]","Hip flexors. Extended leg: internal rotators, knee extensors, foot dorsiflexors. Folded leg: internal rotators, knee flexors. Hip adductors, transversus abdominis, back extensors, obliques, shoulder depressors.","[[Adhomukhaśvānāsana]], [[Bharadvājāsana]] and B, [[Bālāsana]], [[Daṇḍāsana]], [[Garuḍāsana]], [[Marīchyāsana A]] and C, [[Pādahastāsana]], [[Pādāṅguṣṭhāsana]], [[Parivṛttotkaṭāsana]], [[Paścimottānāsana A]], [[Vīrabhadrāsana A]].","[[Krouncāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Ūrdhvamukhapaścimottānāsana]].","[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]].",081
Tadasana,ताडासन,Tāḍāsana,Mountain Pose,Tāḍa = mountain; Āsana = posture,,,,,,x,Despertar,8,Shoulder elevators.,"[[Śavāsana]], [[Bharmanāsana]].","Intrinsic foot muscles, knee extensors, hip synergists, transversus abdominis, back extensors, shoulder depressors, external rotators of the arm, neck.",In itself a prep pose for any practice.,"[[Vṛkṣāsana]] and other standing asanas, [[Utkaṭāsana]].","[[Uttānāsana]], [[Ardhottānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",082
Tadasana,ताडासन,Tāḍāsana,Mountain Pose,Tāḍa = mountain; Āsana = posture,,,,,,x,Despertar,8,"Abdominal muscles, elbow flexors, hip extensors, shoulder extensors and elevators, chest, elbow flexors.",[[Tāḍāsana]]; in itself a preparatory for all poses requiring shoulder flexion and external rotation of the arm.,"Intrinsic foot muscles, knee extensors, hip synergists, transversus abdominis, back extensors, shoulder depressors and protractors, external rotators of the arm, elbow extensors.","Itself a prep pose for all practice requiring shoulder flexion, external rotation of the arm, and elbow extension. [[Adhomukhaśvānāsana]], [[Baddhakoṇāsana A]].","Stretch to one side, then the other; standing back bend with hands on lower back, Surya Namaskara all types.","[[Tāḍāsana]], [[Uttānāsana]], [[Bālāsana]].",083
Ubhaya Padangusthasana,उभयपादाङ्गुष्ठासन,Ubhayapādāṅguṣṭhāsana,Both Big Toes Pose,Ubhaya = both; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Suptapādāṅguṣṭhāsana B,Ubhayapādāṅguṣṭhāsana,x,,,,"10,4","Hip extensors, back extensors, shoulder retractors, chest, shoulder elevators, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Nāvāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Phalakāsana]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]], [[Utthitahastapādāṅguṣṭhāsana A]] .","Hip flexors, adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, abdominals, shoulder protractors and retractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bālāsana]], [[Daṇḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana D]], [[Upaviṣṭhakoṇāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]] .","[[Ūrdhvamukhapaścimottānāsana]], transition to [[Nāvāsana]] and back.","[[Marīchyāsana]] and [[Supta Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Apānāsana]], [[Śavāsana]].",084
Upavishta Konasana A,उपविष्ठकोणासन A,Upaviṣṭhakoṇāsana A,Seated Wide-Angle Pose,Upaviṣṭha = seated; Koṇa = angle,yoga cikitsā,Baddhakoṇāsana B,Upaviṣṭhakoṇāsana A,x,x,x,Apertura,4,"Hip adductors and extensors, internal rotators of the leg, knee flexors, calves, back extensors, chest, elbow flexors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana A]], [[Suptapādāṅguṣṭhāsana A]], [[Utthitatrikoṇāsana]].","Hip flexors, external rotators of the leg, knee extensors, foot dorsiflexors, transversus abdominis, back extensors, shoulder retractors and adductors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhottānāsana]], [[Baddhakoṇāsana B]], [[Bālāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Mālāsana]], [[Pādāṅguṣṭhāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Ekapādabakāsana A]], [[Utthitahastapādāṅguṣṭhāsana A]] , [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].","[[Kūrmāsana]], transition to [[Tiṭṭibhāsana A]] and [[Bhujapīḍāsana]], rock back to[[Suptakoṇāsana]], and up again.","[[Dhanurāsana]], [[Marīchyāsana C]], [[Vīrabhadrāsana A]], [[Gomukhāsana B]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",085
Utkatasana,उत्कटासन​,Utkaṭāsana,Chair Pose,Utkaṭa = powerful,yoga cikitsā,Ardhabaddhapadmottānāsana,Utkaṭāsana,x,,x,Despertar,9,"Calves, hip extensors, shoulder elevators, extensors, and retractors.","[[Adhomukhaśvānāsana]], [[Śalabhāsana B]], [[Tāḍāsana]], [[Vīrabhadrāsana A]].","Intrinsic foot muscles, knee flexors, hip flexors and extensors, back extensors, transversus abdominis, shoulder protractors and flexors, internal rotators of the arm, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Tāḍāsana]], [[Uttānāsana]].","[[Parivṛttotkaṭāsana]], Parivrtta [[Ālāsana]]; transition to sitting on the heels.","[[Uttānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",086
Utplutih,उत्प्लुतिः,Utplutiḥ,Floating Pose,Ut = up; Pluti = to float,samāpana,Padmasana,Śavāsana,x,,,,"4,10","Wrist flexors, elbow flexors, shoulder elevators, retractors, and flexors, back extensors, hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Padmāsana]] and its Prep poses, abdominal core work.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, external rotators of the leg, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Mālāsana]], [[Padmāsana]], [[Phalakāsana]], [[Ūrdhvamukhaśvānāsana]]",Transition to [[Lolasana]] or [[Ūrdhvakukkutāsana]].,"[[Daṇḍāsana]], [[Pūrvottānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]].",087
Utthita Hasta Padangusthasana B,उत्थितहस्तपादाङ्गुष्ठासन B,Utthitahastapādāṅguṣṭhāsana B,Extended Hand to Big Toe Pose,Utthita = extended; Hasta = hand; Pāda = foot; Aṅguṣṭha = big toe,yoga cikitsā,Utthitahastapādāṅguṣṭhāsana A,Utthitahastapādāṅguṣṭhāsana B,x,,,,"10,1","Standing leg: hip flexors. Gesture leg: hip adductors and extensors, internal rotators of the leg, shoulder retractors, chest, neck.","[[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Utthitapārśvakoṇāsana]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Standing leg: intrinsic foot muscles. Hip stabilizers, (emphasis adductors, internal rotators of the leg). Extended leg: hip flexors. Knee extensors, back extensors, transversus abdominis, obliques. Hasta arm: shoulder retractors, protractors, elbow extensors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Garuḍāsana]], [[Pādāṅguṣṭhāsana]], [[Pārśvottānāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana D]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Ubhayapādāṅguṣṭhāsana]], [[Utkaṭāsana]], [[Vīrabhadrāsana C]].","Draw lifted leg higher without compromising alignment; release clasp of foot, hold lifted leg 5 breaths; Parvritta variation.","[[Tāḍāsana]], [[Garuḍāsana]], [[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]].",088
Utthita Parshvakonasana,उत्थितपार्श्वकोणासन,Utthitapārśvakoṇāsana,Extended Side Angle Pose,Utthita = extended; Pārśva = side; Koṇa = angle,ādhāra,Parivṛttatrikoṇāsana,Parivṛttapārśvakoṇāsana,x,,x,Vitalidad,5,"Front leg: hip extensors and adductors, internal rotators of the leg. Back leg: knee flexors, hip flexors. Grounded elbow: flexors. Gesture elbow: flexors, shoulder extensors. Abdominals, chest, shoulder elevators.","[[Mālāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Tāḍāsana]], [[Utthitatrikoṇāsana]], [[Vṛkṣāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), external rotators of the leg, knee flexors. Back leg: hip extensors, knee extensors, back extensors, transversus abdominis, obliques, shoulder retractors and protractors. Top arm: external rotators. Bottom arm: wrist synergists. Elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Pārśvottānāsana]], [[Prasāritapādottānāsana B]], [[Śalabhāsana B]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana B]].","Wrap upper arm behind and lower arm under front leg, clasp wrist of upper arm, transition to [[Kouṇḍinyāsana A]] A or Svarga Dvijasana.","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Prasāritapādottānāsana C]], [[Apānāsana]], [[Bālāsana]].",089
Utthita Trikonasana,उत्थितत्रिकोणासन,Utthitatrikoṇāsana,Extended Triangle Pose,Utthita = extended; Trikoṇa = triangle,ādhāra,Pādahastāsana,Parivṛttatrikoṇāsana,x,,x,Conexion,8,"Front leg: hip adductors and extensors, internal rotators of the leg, knee flexors. Back leg: hip flexors, knee flexors. Obliques, chest, shoulder elevators and retractors, neck.","[[Adhomukhaśvānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Tāḍāsana]], [[Vīrabhadrāsana B]], [[Vṛkṣāsana]].","Intrinsic foot muscles. Front leg: hip stabilizers (emphasis flexors, adductors), external rotators of the leg. Back leg: hip extensors. Knee extensors, back extensors, transversus abdominis, obliques, shoulder abductors, retractors, and protractors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Prasāritapādottānāsana B]] and [[Prasāritapādottānāsana D]], [[Utthitapārśvakoṇāsana]], [[Vasiṣṭhāsana]], [[Vīrabhadrāsana A]] and [[Virabhadrāsana B]].","Transition to [[Ardhacandrāsana]], keeping alignment of standing foot and hip.","[[Tāḍāsana]], [[Adhomukhaśvānāsana]], [[Garuḍāsana]], [[Gomukhāsana B]], [[Bālāsana]].",090
Uttana Padasana,उत्तानपादासन,Uttānapādāsana,Stretched Feet Pose,Uttāna = intense stretch; Pāda = foot,samāpana,Matsyasana,Sirsasana A,x,,,,13,"Abdominals, chest, throat, shoulder elevators, knee flexors, foot dorsiflexors.","[[Daṇḍāsana]],  [[Nāvāsana]], [[Ūrdhva Dhanurāsana]], [[Vīrabhadrāsana A]].","Hip flexors, adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder retractors, protractors, and flexors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Nāvāsana]], [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Utkaṭāsana]].",[[Setubandhāsana]],"[[Apānāsana]], [[Marīchyāsana]], [[Śavāsana]].",091
